城市定位,区县定位,街道定位,小区定位,热度,参考均价,建筑年代,建筑类型,物业费,物业,开发商,楼栋总数,房屋总数,经度,纬度,房龄
南京,玄武 ,卫岗   ,庆盛园                ,128,27688,2000,板楼           ,0.3,街道办事处（委员会）代管物业            ,南京市政建设开发有限公司               ,11,559,118.8588337,32.02527712,19.0
南京,江宁 ,岔路口  ,天地新城天玑座            ,182,23655,2004,塔板结合         ,0.4,南京天地物业管理有限公司              ,南京天地房地产开发有限公司              ,22,799,118.834833 ,31.984181,15.0
南京,栖霞 ,仙林   ,栖园                 ,213,44167,2007,板楼           ,,私人承办物业                    ,南京栖霞建设股份有限公司               ,71,1258,118.9423122,32.10914544,12.0
南京,江宁 ,东山镇  ,桃园路18号             ,18,22679,2003,塔板结合         ,0.5,业主自筹物业                    ,南京市江宁城镇建设综合开发总公司           ,6,199,118.858872 ,31.955828999999998,16.0
南京,雨花台,铁心桥  ,福润雅居樟香园            ,2,8374,2010,板楼           ,2.5,暂无信息                      ,河南中中置业有限公司                 ,41,1525,118.7397028,31.95877255,9.0
南京,雨花台,宁南   ,金轮星立方              ,3,23111,2016,板楼           ,4.5,深圳市莲花物业管理有限公司南京分公司        ,南京水晶金轮置业有限公司               ,1,408,118.807021 ,31.978541999999997,3.0
南京,鼓楼 ,湖南路  ,狮子桥                ,10,31673,1990,板楼/塔板结合      ,,街道办事处（委员会）代管物业            ,南京鼓楼城镇建设综合开发（集团）公司         ,6,231,118.784211 ,32.073536,29.0
南京,六合 ,六合主城 ,天赐佳园               ,6,14366,2008,板楼           ,,业主自筹物业                    ,合肥万科瑞翔地产有限公司               ,16,841,118.857045 ,32.354865999999994,11.0
南京,秦淮 ,来凤里  ,仙鹤里小区              ,108,31169,1992,板楼           ,,街道办事处（委员会）代管物业            ,南京市秦淮区房地产开发公司              ,11,658,118.782134 ,32.026338,27.0
南京,江宁 ,东山镇  ,龙湖春江郦城             ,558,39451,2001,塔楼/板楼        ,,龙湖物业服务集团有限公司南京分公司         ,南京名万置业有限公司                 ,31,2810,118.846634 ,31.947654999999997,18.0
南京,秦淮 ,建康路  ,五马街                ,66,31576,1992,板楼/塔板结合      ,,街道办事处（委员会）代管物业            ,南京市白下区房产局                  ,29,441,118.79786  ,32.034543,27.0
南京,建邺 ,奥体   ,金基汇锦国际             ,602,53044,2003,板楼/塔板结合      ,2.2,南京金基物业管理服务有限公司            ,南京金基通产置业有限公司               ,23,1333,118.729839 ,32.029135,16.0
南京,江宁 ,将军大道 ,玛斯兰德奔牛谷街区          ,2,57407,,板楼           ,6.9,南京金陵饭店物业管理有限责任公司          ,暂无信息                       ,1,1,118.77998  ,31.952695000000002,
南京,江宁 ,百家湖  ,新亭路160号            ,4,25589,2008,塔板结合         ,,无物业管理服务                   ,南京市政开发有限公司                 ,1,26,118.831653 ,31.954924,11.0
南京,鼓楼 ,湖南路  ,泰顺佳园               ,18,40375,2000,板楼           ,0.5,街道办事处（委员会）代管物业            ,鼓楼区房产开发公司                  ,3,210,118.7781226,32.07059098,19.0
南京,鼓楼 ,三牌楼  ,宁和新寓               ,163,44525,1995,板楼/塔板结合      ,0.3,业主自筹物业                    ,鼓楼区房产开发公司                  ,10,516,118.770761 ,32.085083000000004,24.0
南京,溧水 ,溧水城南 ,万科城梧桐苑             ,25,15196,2000,塔楼           ,2.5,南京万科物业管理有限公司              ,万科                         ,13,884,119.0557895,31.64457066,19.0
南京,江宁 ,东山镇  ,温州商业街              ,1,22704,,塔楼           ,,暂无信息                      ,暂无信息                       ,1,2,118.85983  ,31.957379,
南京,六合 ,大厂   ,扬子五村               ,0,17229,1982,板楼           ,0.3,暂无信息                      ,扬子石化房产公司                   ,14,625,118.7749635,32.24708747,37.0
